EDIF	LATITUD	LONGITUD	PLANTAS	HUELLA(M2)	CONFIG	OBS
PH GOLDEN PALACE,8.97281,-79.51671,36,,2,SE ENCUENTRA EN PUNTA PAITILLA. EQUIPO EN BASE Y AZOTEA
PH INNOVA TOWER,,,,,,
PH MIRADOR SAN FRANCISCO,8.98827,-79.50551,22,,2,SE ENCUENTRA EN SAN FRANCISCO. EQUIPO EN BASE Y AZOTEA
PH MONTEMAR,8.99491,-79.51387,35,,2,SE ENCUENTRA EN SAN FRANCISCO. EQUIPO EN BASE Y AZOTEA
Ph Park one,9.00642,-79.50662,34,,2,SE ENCUENTRA EN SAN FRANCISCO. EQUIPO EN BASE Y AZOTEA
PH THE LANDMARK,8.974252778,-79.51635556,44,,2,SE ENCUENTRA EN PUNTA PAITILLA. EQUIPO EN BASE Y AZOTEA
Ph Toneles,,,,,,
PH WINDOW TOWER,8.99542,-79.51289,34,,2,SE ENCUENTRA EN SAN FRANCISCO. EQUIPO EN BASE Y AZOTEA
PH. KEOPS TOWERS,,,,,,
PH.URBI TOWER,,,,,,
PLAYA SERENA,8.54861,-79.87181,27,,2,SE ENCUENTRA EN P. GORGONA / SAN CARLOS. EQUIPO EN BASE Y AZOTEA
Plaza Valencia,8.99926,-79.51768,21,,3,SE ENCUENTRA EN CARRASQUILLA
Premium Tower,,,,,,
Prime time,9.009694,-79.475046,43,,2,SE ENCUENTRA EN COSTA DEL ESTE. EQUIPO EN BASE Y AZOTEA
Proyecto Q tower,8.976452778,-79.50866111,67,,3,SE ENCUENTRA EN PUNTA PACÍFICA. EQUIPO EN BASE
PUNTA MARINA,,,,,,
RESIDENSIAL COSTA REAL,,,,,,
Revolution Tower,8.982858333,-79.51845833,52,,2,SE ENCUENTRA EN SAN FRANCISCO. EQUIPO EN BASE Y AZOTEA. EDIFICIO REVOLUTION TOWER/F&F TOWER
RITZ PLAZA SUITE,,,,,,
riu palace,,,,,,
Rivage,,,,,,
Riverside,,,,,,
RIVERSIDE,,,,,,
Rosa del viento,8.995944444,-79.50602778,32,,2,SE ENCUENTRA EN SAN FRANCISCO. EQUIPO EN BASE Y AZOTEA. ROSA DEL VENTI
San Francisco 67,8.99259,-79.51148,25,,2,SE ENCUENTRA EN SAN FRANCISCO. EQUIPO EN BASE Y AZOTEA
SEAWAVES,8.98044,-79.52726,47,,2,SE ENCUENTRA EN BELLA VISTA. EQUIPO EN BASE Y AZOTEA
Serenity,,,,,,
SFB 300,,,,,,ME PARECE QUE ESTOS SON SAN FRANCISCO BAY T300&400
SFB 400,,,,,,
SILVERLKING,,,,,,
SKY TOWER,8.96783,-79.53288,54,,2,SE ENCUENTRA EN LA EXPOSICIÓN. EQUIPO EN BASE Y AZOTEA
